Rf_i;Rf_j;Lbl_p;Lbl_q;Wordnet wup equivalence indicator;Equivalence estimate
Rf09;Rf08;Constellation;Activity;0,428571429;Low
Rf12;Rf11;Executor;Role;0,133333333;Low
Rf12;Rf11;Executor;Metric;0,166666667;Low
Rf12;Rf11;Executor;Entity;0,285714286;Low
Rf12;Rf03;Executor;Payload;0,285714286;Low
Rf12;Rf03;Executor;Software;0,142857143;Low
Rf12;Rf08;Executor;Activity;0,166666667;Low
Rf12;Rf11;Connectivity;Role;0,285714286;Low
Rf12;Rf11;Connectivity;Metric;0,363636364;Low
Rf12;Rf11;Connectivity;Entity;0,333333333;Low
Rf12;Rf03;Connectivity;Payload;0,285714286;Low
Rf12;Rf03;Connectivity;Software;0,307692308;Low
Rf12;Rf08;Connectivity;Activity;0,363636364;Low
Rf12;Rf11;Cooperation;Role;0,625;Moderate
Rf12;Rf11;Cooperation;Metric;0,333333333;Low
Rf12;Rf11;Cooperation;Entity;0,285714286;Low
Rf12;Rf03;Cooperation;Payload;0,266666667;Low
Rf12;Rf03;Cooperation;Software;0,285714286;Low
Rf12;Rf08;Cooperation;Activity;0,769230769;High
Rf11;Rf03;Role;Payload;0,222222222;Low
Rf11;Rf03;Role;Software;0,235294118;Low
Rf11;Rf08;Role;Activity;0,8;High
Rf11;Rf03;Metric;Payload;0,4;Low
Rf11;Rf03;Metric;Software;0,285714286;Low
Rf11;Rf08;Metric;Activity;0,333333333;Low
Rf11;Rf15;Metric;Role;0,266666667;Low
Rf11;Rf03;Entity;Payload;0,222222222;Low
Rf11;Rf03;Entity;Software;0,222222222;Low
Rf11;Rf08;Entity;Activity;0,285714286;Low
Rf11;Rf15;Entity;Role;0,2;Low
Rf03;Rf08;Payload;Activity;0,266666667;Low
Rf03;Rf08;Software;Activity;0,285714286;Low
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
